Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
12/13/2023 22:24,12/14/2023 00:34,EURCHF,Sell,0.11,0.94791,0.94763,-0.55,-2.85,2.8,-0.15,-0.01,00:02:09:33,49.3,1h 3m,15.9,1.55,7.4,8.584,-11.5,-13.34,39.2,75.7,-4.6,-5.34
12/08/2023 22:51,12/11/2023 16:07,EURNZD,Sell,0.09,1.75832,1.75524,-0.45,-0.02,30.8,15.32,1.15,02:17:15:53,80.1,2d 4h ,64.8,1.3,31.9,16.269,-41.6,-21.216,43.4,98.5,-1.1,-0.56
12/08/2023 22:34,12/11/2023 01:01,GBPCHF,Buy,0.06,1.1039,1.10399,-0.35,0.51,0.9,0.73,0.05,02:02:26:15,2,1h 0m,28,31.15,0.9,0.567,-28,-17.64,3.1,100,0,0
12/07/2023 23:30,12/08/2023 01:59,USDCAD,Sell,0.07,1.36028,1.35978,-0.32,-0.69,5,1.38,0.1,00:02:28:57,96.7,2h 24m,12.5,0.03,14.6,7.008,-0.4,-0.192,97.3,36,-9.6,-4.61
12/07/2023 23:10,12/07/2023 23:52,EURUSD,Buy,0.09,1.07923,1.07948,-0.45,0,2.5,1.63,0.12,00:00:41:26,50,20m,2,0.62,2.6,2.158,-1.6,-1.328,61.9,97.6,-0.1,-0.08
12/05/2023 22:22,12/06/2023 02:21,EURCAD,Sell,0.07,1.46637,1.46637,-0.35,0.06,0,-0.29,-0.02,00:03:58:32,16.8,40m,21.7,1.18,12.2,0,-14.4,0,45.9,54.1,-12.2,0
12/05/2023 23:00,12/06/2023 01:19,USDJPY,Buy,0.07,147.178,147.16,-0.32,0.78,-1.8,-0.34,-0.03,00:02:18:54,15.2,21m,20.9,3.65,4.5,1.98,-16.4,-7.216,21.5,69.9,-6.3,-2.77
12/04/2023 22:15,12/04/2023 23:30,EURCAD,Sell,0.07,1.46713,1.46689,-0.35,0,2.4,0.8,0.06,00:01:15:17,52,39m,8.3,2.24,3.7,1.776,-8.3,-3.984,30.8,89.2,-1.3,-0.62
12/04/2023 22:30,12/04/2023 23:26,GBPCAD,Sell,0.07,1.7105,1.71026,-0.41,0,2.4,0.74,0.06,00:00:56:00,76.8,43m,7.1,0.72,5.8,2.784,-4.2,-2.016,58,66,-3.4,-1.63
12/04/2023 01:30,12/04/2023 04:38,AUDCAD,Sell,0.12,0.90182,0.90185,-0.37,0,-0.3,-0.61,-0.05,00:03:07:31,70.3,2h 11m,11,0.51,7.3,5.84,-3.7,-2.96,66.4,30.9,-7.6,-6.08
12/01/2023 21:47,12/04/2023 02:50,EURGBP,Buy,0.08,0.85649,0.85695,-0.4,-0.48,4.6,3.41,0.26,02:05:03:04,1.5,47m,9.5,1.76,5.4,5.022,-9.5,-8.835,36.2,94.6,-0.8,-0.74
12/04/2023 00:52,12/04/2023 02:07,EURUSD,Sell,0.07,1.08895,1.08811,-0.35,0,8.4,5.05,0.38,00:01:15:06,62.7,47m,12.6,0.63,8.4,5.376,-5.3,-3.392,61.3,100,0,0
12/01/2023 19:56,12/01/2023 23:26,AUDNZD,Sell,0.09,1.07588,1.07536,-0.28,0,5.2,2.39,0.18,00:03:29:29,90.5,3h 9m,3.6,0.59,4.6,2.346,-2.7,-1.377,63,108.2,0.6,0.31
11/29/2023 23:48,11/30/2023 04:09,USDJPY,Buy,0.07,147.209,147.154,-0.32,2.41,-5.5,-0.29,-0.02,00:04:20:56,2.3,6m,39,9.54,3.7,1.591,-35.3,-15.179,9.5,76.4,-9.2,-3.96
11/29/2023 23:45,11/30/2023 03:26,EURJPY,Buy,0.08,161.556,161.517,-0.4,2.17,-3.9,-0.16,-0.01,00:03:41:14,0,0s,40.3,40.32,0,0,-40.3,-19.747,0,90.3,-3.9,-1.91
11/29/2023 23:50,11/30/2023 01:13,EURUSD,Buy,0.09,1.09713,1.09742,-0.45,-2.34,2.9,-0.41,-0.03,00:01:23:20,14.5,12m,4.4,1.45,2.9,2.378,-4.2,-3.444,40.8,100,0,0
11/29/2023 21:40,11/29/2023 23:04,GBPAUD,Sell,0.08,1.91965,1.91896,-0.46,0,6.9,2.87,0.22,00:01:24:27,98.9,1h 23m,11,0.02,10.8,5.184,-0.2,-0.096,98.2,64.5,-3.9,-1.87
11/29/2023 20:30,11/29/2023 21:25,GBPAUD,Sell,0.08,1.91904,1.91831,-0.46,0,7.3,3.07,0.23,00:00:55:19,76.4,42m,7,0.47,7.3,3.504,-3.4,-1.632,68.2,100,0,0
11/28/2023 23:44,11/29/2023 09:09,EURUSD,Sell,0.09,1.09917,1.09917,-0.45,0.07,0,-0.38,-0.03,00:09:24:56,2.5,14m,26,10.82,2.2,0,-23.8,0,8.5,91.5,-2.2,0
11/28/2023 22:27,11/29/2023 02:06,EURJPY,Buy,0.08,161.929,161.921,-0.4,0.73,-0.8,-0.07,-0.01,00:03:39:46,74.1,2h 42m,37.6,0.89,19.9,9.95,-17.7,-8.85,52.9,44.9,-20.7,-10.35
11/27/2023 21:24,11/28/2023 01:00,EURNZD,Buy,0.09,1.79448,1.79755,-0.45,-0.75,30.7,14.17,1.09,00:03:35:23,82.4,2h 57m,29.7,0.36,30.7,15.35,-11,-5.5,73.6,100,0,0
11/27/2023 21:37,11/27/2023 23:31,USDJPY,Buy,0.07,148.589,148.67,-0.32,0,8.1,3.16,0.24,00:01:53:51,88.6,1h 40m,8.3,0.4,9.2,3.956,-3.7,-1.591,71.3,91.5,-1.1,-0.47
11/24/2023 23:45,11/27/2023 02:55,EURAUD,Sell,0.1,1.66225,1.66151,-0.5,-0.14,7.4,3.81,0.29,02:03:09:23,98.9,2d 2h ,19,0.29,14.7,8.82,-4.3,-2.58,77.4,61.6,-7.3,-4.38
11/24/2023 22:30,11/27/2023 02:17,EURCAD,Sell,0.07,1.49214,1.49089,-0.35,0.07,12.5,5.59,0.43,02:03:47:42,100,2d 3h ,13.4,0.03,13.7,6.439,-0.4,-0.188,97.2,91.5,-1.2,-0.56
11/24/2023 22:30,11/27/2023 01:01,AUDCAD,Sell,0.12,0.89819,0.89735,-0.36,-0.04,8.4,6.36,0.5,02:02:31:36,100,2d 2h ,18.9,0.18,23.1,18.48,4.2,3.36,122.2,22.2,-14.7,-11.76
11/23/2023 22:45,11/23/2023 23:56,CHFJPY,Buy,0.08,169.132,169.155,-0.41,0,2.3,0.72,0.06,00:01:10:41,18.4,13m,9.5,2.8,2.5,1.225,-7,-3.43,26.3,97.9,-0.2,-0.1
11/17/2023 23:28,11/21/2023 20:23,EURUSD,Sell,0.06,1.09082,1.09078,-0.3,0.1,0.4,0.02,0,03:20:55:03,54.5,2d 2h ,66.3,5.7,9.9,5.445,-56.4,-31.02,14.9,85.7,-9.5,-5.23
11/20/2023 22:15,11/20/2023 23:29,GBPAUD,Buy,0.07,1.90619,1.90653,-0.4,0,3.4,1.03,0.08,00:01:14:04,37.9,28m,6.3,0.98,4.2,1.764,-4.1,-1.722,50.6,90.4,-0.8,-0.34
11/17/2023 21:26,11/20/2023 09:46,EURNZD,Buy,0.09,1.82004,1.80904,-0.45,-0.6226,-110,-55.8,-4.18,02:12:19:50,5.1,3h 4m,126.8,7.46,15,7.5,-111.8,-55.9,11.8,1.4,-125,-62.5
11/17/2023 23:28,11/20/2023 08:49,EURCAD,Sell,0.07,1.49603,1.49605,-0.35,0.05,-0.2,-0.39,-0.03,02:09:20:46,87.3,2d 2h ,20.5,1.03,10.1,4.545,-10.4,-4.68,49.3,49.8,-10.3,-4.63
11/17/2023 23:33,11/20/2023 01:28,GBPCHF,Sell,0.06,1.10427,1.10348,-0.34,-0.8,7.9,3.76,0.28,02:01:55:15,100,2d 1h ,26,0.21,32.8,20.336,6.8,4.216,126.2,4.2,-24.9,-15.44
11/14/2023 21:34,11/15/2023 13:05,AUDNZD,Buy,0.09,1.08299,1.07918,-0.27,-0.32,-38.1,-19.67,-1.46,00:15:31:24,3.3,30m,57.5,43.29,1.3,0.65,-56.2,-28.1,2.3,31.5,-39.4,-19.7
11/14/2023 20:30,11/15/2023 00:55,GBPAUD,Buy,0.08,1.9218,1.9224,-0.46,0.01,6,2.41,0.18,00:04:25:01,3.4,9m,26.7,4.28,6,2.88,-25.7,-12.336,18.9,100,0,0
11/14/2023 22:38,11/14/2023 23:24,CHFJPY,Buy,0.09,169.094,169.117,-0.47,0,2.3,0.79,0.06,00:00:46:09,63.9,29m,12.3,0.5,8.2,4.51,-4.1,-2.255,66.7,52,-5.9,-3.25
11/14/2023 22:30,11/14/2023 22:50,USDCAD,Buy,0.08,1.36877,1.36914,-0.37,0,3.7,1.62,0.12,00:00:20:20,45,9m,2.7,0.56,4.8,2.592,-2.7,-1.458,64,85.3,-1.1,-0.59
11/13/2023 01:01,11/13/2023 02:45,AUDCAD,Sell,0.12,0.87849,0.87775,-0.36,0,7.4,5.66,0.42,00:01:43:35,99.1,1h 42m,28.5,0,28.4,23.004,-0.1,-0.081,99.6,26.3,-21,-17.01
11/09/2023 21:02,11/13/2023 00:09,EURNZD,Sell,0.1,1.80564,1.81735,-0.5,-0.0186,-117.1,-64.95,-4.62,03:03:06:56,1.2,54m,146.4,4,29.3,16.115,-117.1,-64.405,20,0,-146.4,-80.52
11/09/2023 21:00,11/10/2023 08:27,GBPAUD,Sell,0.09,1.91646,1.92172,-0.52,-0.48,-52.6,-29.23,-2.04,00:11:26:57,8.6,59m,106.5,2.23,33,17.82,-73.5,-39.69,31,19.6,-85.6,-46.22
11/09/2023 21:15,11/10/2023 06:23,EURAUD,Sell,0.12,1.67483,1.67726,-0.6,-0.16,-24.3,-18.15,-1.25,00:09:08:53,26.9,2h 27m,90.8,0.84,49.3,35.496,-41.5,-29.88,54.3,18.9,-73.6,-52.99
11/09/2023 23:01,11/10/2023 00:28,EURCAD,Buy,0.08,1.47256,1.47285,-0.4,0,2.9,1.18,0.08,00:01:27:50,93.2,1h 21m,15.8,0.12,14.1,7.614,-1.7,-0.918,89.2,29.1,-11.2,-6.05
11/09/2023 22:01,11/09/2023 22:56,CHFJPY,Buy,0.09,167.469,167.496,-0.47,0,2.7,1.04,0.07,00:00:54:49,88.9,48m,28.1,0.11,25.3,14.168,-2.8,-1.568,90,19.6,-22.6,-12.66
11/08/2023 22:00,11/09/2023 02:00,EURAUD,Sell,0.12,1.67246,1.67156,-0.6,-0.47,9,5.39,0.37,00:03:59:41,65.5,2h 36m,29.2,0.22,23.9,17.208,-5.3,-3.816,81.8,49,-14.9,-10.73
11/08/2023 20:34,11/08/2023 21:07,GBPAUD,Sell,0.09,1.91849,1.91774,-0.52,0,7.5,3.52,0.24,00:00:33:03,100,33m,16.7,0.04,24.2,13.068,0,0,100,31,-16.7,-9.02
11/06/2023 22:13,11/07/2023 02:54,GBPAUD,Buy,0.08,1.90258,1.90296,-0.46,0.12,3.8,1.5,0.1,00:04:40:28,25.3,1h 10m,55.4,1.3,24.1,11.568,-31.3,-15.024,43.5,63.4,-20.3,-9.74
11/03/2023 22:53,11/06/2023 01:48,USDCHF,Sell,0.12,0.89886,0.89946,-0.56,-1.58,-6,-9.6,-0.66,02:02:54:07,96.3,2d 1h ,14.6,0.7,8.6,10.664,-6,-7.44,58.9,0,-14.6,-18.1
11/03/2023 23:26,11/06/2023 01:41,GBPCHF,Sell,0.06,1.11286,1.1126,-0.35,-0.83,2.6,0.43,0.03,02:02:14:25,98.4,2d 1h ,31.7,0.08,34.3,21.266,2.6,1.612,108.2,0,-31.7,-19.65
11/03/2023 21:21,11/06/2023 00:56,EURAUD,Buy,0.11,1.64819,1.64859,-0.55,-0.27,4,1.85,0.13,02:03:35:16,0.6,18m,10.6,2.65,4,2.68,-10.6,-7.102,27.4,100,0,0
11/02/2023 22:26,11/03/2023 03:27,EURNZD,Buy,0.1,1.80198,1.80212,-0.5,-0.73,1.4,-0.45,-0.03,00:05:01:02,1.7,5m,32.5,20.7,1.5,0.84,-31,-17.36,4.6,99.7,-0.1,-0.06
11/02/2023 02:00,11/02/2023 15:13,EURUSD,Sell,0.1,1.05786,1.0649,-0.5,0,-70.4,-66.61,-4.4,00:13:13:29,0.3,2m,71.1,142.86,0.5,0.47,-70.6,-66.364,0.7,0.3,-70.9,-66.65
11/02/2023 01:09,11/02/2023 05:58,AUDCHF,Sell,0.09,0.58091,0.58149,-0.27,0,-5.8,-5.72,-0.38,00:04:48:32,0.4,1m,17,20.28,0.8,0.752,-16.2,-15.228,4.7,61.2,-6.6,-6.2
10/31/2023 22:01,10/31/2023 22:39,GBPAUD,Buy,0.09,1.91553,1.91606,-0.52,0,5.3,2.34,0.15,00:00:37:44,73.7,27m,5.6,0.42,5.3,2.862,-2.2,-1.188,70.7,100,0,0
10/30/2023 22:41,10/31/2023 03:28,GBPAUD,Sell,0.09,1.90893,1.90877,-0.52,-0.56,1.6,-0.22,-0.01,00:04:46:57,36.3,1h 44m,43,0.98,21.7,11.718,-21.3,-11.502,50.5,53.3,-20.1,-10.85
10/30/2023 22:15,10/30/2023 23:08,EURNZD,Buy,0.11,1.81733,1.81747,-0.55,0,1.4,0.3,0.02,00:00:53:25,5.7,3m,7.8,4.54,1.5,0.915,-6.8,-4.148,18.1,98.8,-0.1,-0.06
10/30/2023 00:07,10/30/2023 01:00,USDJPY,Buy,0.07,149.528,149.597,-0.33,0,6.9,2.73,0.18,00:00:52:33,88.7,46m,8.5,0.26,9.1,4.004,-2.4,-1.056,79.1,80.9,-2.2,-0.97
10/26/2023 23:57,10/27/2023 04:57,EURCAD,Sell,0.08,1.4611,1.4592,-0.4,0.07,19,10.09,0.67,00:05:00:01,99.4,4h 58m,25.1,0.04,27.7,15.235,0,0,100,68.6,-8.7,-4.79
10/26/2023 23:24,10/27/2023 00:04,USDJPY,Buy,0.07,150.366,150.39,-0.33,0.8,2.4,1.53,0.1,00:00:40:16,97.5,39m,6.4,0.07,6,2.64,-0.4,-0.176,93.7,43.7,-3.6,-1.58
10/26/2023 01:43,10/26/2023 04:43,AUDCAD,Buy,0.14,0.86828,0.86849,-0.42,0,2.1,1.59,0.11,00:03:00:01,62.5,1h 52m,24,1.76,8.7,8.352,-15.3,-14.688,36.3,72.5,-6.6,-6.34
10/24/2023 23:13,10/25/2023 00:12,CHFJPY,Sell,0.09,167.838,167.834,-0.48,-0.76,0.4,-1.02,-0.07,00:00:58:55,66.2,39m,32.6,0.05,33,18.15,-1.6,-0.88,95.4,5.8,-32.6,-17.93
10/20/2023 23:02,10/23/2023 02:48,GBPCAD,Sell,0.08,1.66747,1.66703,-0.46,-0.23,4.4,1.73,0.12,02:03:46:07,99.1,2d 3h ,57.6,0.03,55.7,30.635,-1.9,-1.045,96.7,10.9,-51.3,-28.22
10/20/2023 22:59,10/23/2023 01:16,GBPAUD,Sell,0.09,1.92677,1.92439,-0.52,-0.61,23.8,11.65,0.78,02:02:16:14,99.2,2d 1h ,45.7,0.14,53,28.62,7.3,3.942,116,36.1,-29.2,-15.77
10/20/2023 21:24,10/23/2023 01:11,EURAUD,Sell,0.12,1.67773,1.67699,-0.6,-0.31,7.4,4.39,0.3,02:03:47:28,97,2d 2h ,29.4,0.08,27.1,19.512,-2.3,-1.656,92.2,33,-19.7,-14.18
10/19/2023 23:05,10/20/2023 10:22,EURCHF,Buy,0.12,0.94461,0.94458,-0.6,0.43,-0.3,-0.55,-0.04,00:11:16:38,0.2,1m,19.5,17.73,1.1,1.397,-19.5,-24.765,5.3,93.2,-1.4,-1.78
10/19/2023 23:02,10/19/2023 23:39,USDJPY,Buy,0.07,149.784,149.827,-0.33,0,4.3,1.57,0.11,00:00:37:56,100,37m,0.9,0.21,4.8,2.112,0,0,100,89.6,-0.5,-0.22
10/19/2023 00:57,10/19/2023 01:42,USDJPY,Buy,0.07,149.831,149.857,-0.33,0,2.6,0.83,0.06,00:00:44:42,73.4,32m,5.6,2,2.8,1.26,-5.6,-2.52,33.3,97.6,-0.2,-0.09
10/17/2023 23:39,10/18/2023 02:36,GBPAUD,Buy,0.09,1.91347,1.914,-0.52,0.08,5.3,2.43,0.16,00:02:57:14,46.9,1h 23m,9,1.2,5.6,3.024,-6.7,-3.618,45.5,97.6,-0.3,-0.16
10/16/2023 01:00,10/16/2023 03:05,EURJPY,Sell,0.09,157.287,157.267,-0.45,0,2,0.69,0.05,00:02:05:37,9.6,12m,13.6,4.67,2.4,1.368,-11.2,-6.384,17.6,97.1,-0.4,-0.23
10/16/2023 00:05,10/16/2023 01:00,USDJPY,Buy,0.07,149.381,149.542,-0.33,0,16.1,6.83,0.46,00:00:55:14,76.4,42m,19.2,0.14,16.9,7.436,-2.3,-1.012,88,95.8,-0.8,-0.35
10/13/2023 23:53,10/16/2023 00:05,USDCHF,Sell,0.12,0.90259,0.90213,-0.57,-1.61,4.6,3.65,0.25,02:00:11:51,0.3,8m,21.5,0.04,26.1,33.147,0,0,100,17.6,-21.5,-27.3
10/13/2023 22:10,10/16/2023 00:05,EURNZD,Sell,0.1,1.7848,1.77921,-0.5,-0.04,55.9,30.88,2.15,02:01:54:49,0.3,8m,2.6,0.05,55.9,31.304,-2.6,-1.456,95.6,100,0,0
10/12/2023 21:10,10/13/2023 00:39,AUDNZD,Buy,0.1,1.06459,1.0655,-0.3,-0.33,9.1,4.5,0.31,00:03:29:02,45.5,1h 35m,33.8,2.77,9.1,5.096,-25.2,-14.112,26.5,100,0,0
10/12/2023 00:04,10/12/2023 03:06,USDJPY,Buy,0.07,149.144,149.146,-0.33,0,0.2,-0.25,-0.02,00:03:02:56,0.6,1m,16.2,81.3,0.2,0.08,-16.2,-6.48,1.2,100,0,0
10/10/2023 21:32,10/11/2023 05:05,EURAUD,Buy,0.11,1.64996,1.65004,-0.55,-0.29,0.8,-0.31,-0.02,00:07:33:05,8.2,37m,34.5,7.75,4,2.64,-31,-20.46,11.4,90.9,-3.2,-2.11
10/10/2023 22:01,10/11/2023 04:09,EURNZD,Buy,0.1,1.75519,1.7554,-0.5,-0.84,2.1,-0.14,-0.01,00:06:08:03,14.5,53m,28.5,5.83,4.2,2.394,-24.5,-13.965,14.6,92.7,-2.1,-1.2
10/09/2023 21:30,10/10/2023 09:04,GBPAUD,Buy,0.08,1.90995,1.90877,-0.46,0.09,-11.8,-6.1,-0.42,00:11:33:28,0,0s,49.8,50,0,0,-49.8,-24.402,0,76.3,-11.8,-5.78
10/09/2023 22:00,10/10/2023 01:10,AUDCAD,Sell,0.13,0.87127,0.87128,-0.39,-0.01,-0.1,-0.49,-0.03,00:03:10:04,95.3,3h 1m,6.1,0.09,5.8,5.22,-0.5,-0.45,92.1,6.3,-5.9,-5.31
10/09/2023 00:58,10/09/2023 03:03,EURAUD,Sell,0.11,1.66051,1.65854,-0.55,0,19.7,12.52,0.88,00:02:05:12,83.3,1h 44m,47.4,1.13,22.3,14.718,-25.1,-16.566,47,94.5,-2.6,-1.72
10/09/2023 00:05,10/09/2023 02:16,AUDUSD,Buy,0.08,0.63627,0.63628,-0.24,0,0.1,-0.17,-0.01,00:02:11:08,17.5,22m,22.2,3.72,4.7,3.29,-17.5,-12.25,21.2,79.3,-4.6,-3.22
10/09/2023 00:05,10/09/2023 01:26,USDJPY,Buy,0.07,149.133,149.206,-0.33,0,7.3,2.92,0.2,00:01:21:01,17.3,14m,12.1,1.49,7.3,3.285,-10.9,-4.905,40.1,100,0,0
10/09/2023 00:13,10/09/2023 01:01,GBPUSD,Buy,0.05,1.22046,1.22067,-0.29,0,2.1,0.7,0.05,00:00:47:48,4.2,2m,6.5,1.03,6.3,2.961,-6.5,-3.055,49.2,67.2,-4.2,-1.97
10/06/2023 22:01,10/09/2023 00:06,EURNZD,Buy,0.1,1.76562,1.76785,-0.5,-0.75,22.3,11.36,0.8,02:02:05:22,99.9,2d 2h ,11.3,0.29,22.3,12.711,6.5,3.705,141.1,100,0,0
10/06/2023 21:58,10/06/2023 22:53,EURAUD,Buy,0.11,1.65617,1.65767,-0.55,0,15,9.4,0.67,00:00:54:47,,,,,,,,,,,,
10/05/2023 23:00,10/06/2023 02:01,CHFJPY,Sell,0.08,162.718,162.683,-0.42,-0.71,3.5,0.66,0.05,00:03:01:10,77.8,2h 20m,29.8,0.27,27.5,14.025,-7.3,-3.723,79,31,-24,-12.24
10/05/2023 22:00,10/06/2023 00:36,AUDCAD,Sell,0.13,0.87373,0.87323,-0.39,0,5,4.1,0.29,00:02:36:20,96.8,2h 31m,6.4,0.08,11.4,10.26,-0.9,-0.81,92.7,48,-6.4,-5.76
10/05/2023 01:04,10/05/2023 03:07,USDJPY,Buy,0.07,149.009,149.009,-0.33,0,0,-0.33,-0.02,00:02:03:14,8,9m,11.8,2.81,3.1,0,-8.7,0,26.3,73.7,-3.1,0
10/04/2023 22:36,10/04/2023 23:00,GBPAUD,Buy,0.08,1.91884,1.91983,-0.46,0,9.9,4.31,0.31,00:00:23:51,100,23m,1,0.1,9.9,4.752,0,0,100,100,0,0
10/04/2023 01:12,10/04/2023 02:42,EURCHF,Buy,0.12,0.96366,0.96416,-0.6,0,5,5.62,0.4,00:01:30:07,77.8,1h 10m,5.4,0.33,5.7,7.068,-1.9,-2.356,75,90.8,-0.7,-0.87
10/02/2023 22:58,10/03/2023 03:58,EURNZD,Buy,0.09,1.76269,1.76364,-0.45,-0.7,9.5,3.7,0.27,00:05:00:01,50,2h 30m,23.5,1.37,15.5,7.905,-21.2,-10.812,42.2,83.7,-6,-3.06
10/02/2023 22:55,10/03/2023 02:01,GBPAUD,Buy,0.08,1.90013,1.90049,-0.46,0.03,3.6,1.32,0.1,00:03:06:20,15.4,28m,39.2,8,4.9,2.401,-39.2,-19.208,11.1,97.1,-1.3,-0.64
10/02/2023 22:03,10/02/2023 22:58,EURNZD,Sell,0.09,1.76515,1.7627,-0.45,0,24.5,12.06,0.88,00:00:54:37,,,,,,,,,,,,
10/02/2023 01:01,10/02/2023 03:59,AUDCAD,Sell,0.12,0.87385,0.87289,-0.37,0,9.6,7.66,0.56,00:02:58:35,81.9,2h 26m,15.8,0.32,12,10.08,-3.8,-3.192,75.9,84.8,-2.4,-2.02
10/02/2023 01:05,10/02/2023 03:31,GBPUSD,Buy,0.05,1.21852,1.2196,-0.29,0,10.8,4.83,0.35,00:02:26:07,70,1h 42m,4.5,0.42,10.8,5.076,-4.5,-2.115,70.6,100,0,0
09/29/2023 23:00,10/02/2023 01:00,USDCAD,Sell,0.07,1.35817,1.35686,-0.33,0,13.1,6.06,0.45,02:02:00:30,100,2d 2h ,13.5,0.36,21.2,10.388,7.7,3.773,157,40,-8.1,-3.97
10/02/2023 00:05,10/02/2023 01:00,USDJPY,Sell,0.07,149.602,149.504,-0.33,0,9.8,4.01,0.3,00:00:54:58,,,,,,,,,,,,
09/29/2023 23:00,09/29/2023 23:52,GBPCAD,Sell,0.07,1.65703,1.65576,-0.4,0,12.7,5.79,0.43,00:00:52:44,,,,,,,,,,,,
09/28/2023 00:49,09/28/2023 04:17,USDJPY,Buy,0.07,149.528,149.529,-0.33,0,0.1,-0.29,-0.02,00:03:28:15,14.3,29m,7.1,4.18,1.7,0.68,-7.1,-2.84,19.3,81.8,-1.6,-0.64
09/26/2023 23:16,09/27/2023 02:39,EURCHF,Sell,0.11,0.96795,0.96789,-0.55,-0.99,0.6,-0.86,-0.06,00:03:23:11,53.9,1h 49m,21.1,0.07,19.7,22.261,-1.4,-1.582,93.4,9.5,-19.1,-21.58
09/26/2023 23:15,09/27/2023 02:22,EURJPY,Sell,0.08,157.589,157.565,-0.4,-1.16,2.4,-0.34,-0.03,00:03:07:21,91.7,2h 51m,10.4,0.04,10,5.1,-0.4,-0.204,96.2,26.9,-7.6,-3.88
09/25/2023 21:50,09/26/2023 02:14,GBPAUD,Buy,0.08,1.90127,1.90156,-0.46,0.07,2.9,1.01,0.08,00:04:24:06,11.8,31m,8.5,2.93,2.9,1.392,-8.5,-4.08,25.4,100,0,0
09/25/2023 01:22,09/25/2023 01:49,USDJPY,Buy,0.07,148.272,148.351,-0.33,0,7.9,3.17,0.24,00:00:27:32,,,,,,,,,,,,
09/22/2023 23:20,09/25/2023 00:14,EURUSD,Buy,0.06,1.06439,1.06502,-0.3,-0.44,6.3,2.81,0.21,02:00:54:20,2.1,1h 1m,0,0.16,6.3,3.528,0,0,100,100,0,0
09/21/2023 23:00,09/21/2023 23:56,USDCAD,Sell,0.07,1.34845,1.34824,-0.33,0,2.1,0.69,0.05,00:00:56:06,,,,,,,,,,,,
09/20/2023 22:15,09/21/2023 01:30,EURAUD,Sell,0.1,1.65208,1.65295,-0.5,-0.64,-8.7,-6.4,-0.48,00:03:15:58,14.3,28m,16.3,6.52,2.5,1.5,-16.3,-9.78,13.3,40.4,-11.2,-6.72
